gene,group,significant
CXCR4,rank,TRUE
NCAM1,rank,TRUE
FCGR3A,GO,TRUE
KLRB1,rank,TRUE
KLRK1,rank,TRUE
PDCD1,rank,FALSE
CD7,GO,TRUE
CD7,rank,TRUE
CD69,GO,TRUE
ITGAE,GO,TRUE
B3GAT1,,
FAM102B,GO,TRUE
ITGA1,rank,FALSE
SLFN12L,rank,TRUE
TGFBR3,rank,TRUE
RAB27A,rank,TRUE
AOAH,GO,TRUE
ARAP2,rank,TRUE
SYTL3,GO,TRUE
SYTL3,rank,TRUE
SLA2,GO,TRUE
CRTAM,rank,TRUE
ATXN1,GO,TRUE
PLCB1,rank,TRUE
PTPN22,rank,TRUE
TNFAIP3,rank,TRUE
CD8A,GO,TRUE
SRGN,GO,TRUE
SRGN,rank,TRUE
NKG7,GO,TRUE
NKG7,rank,TRUE
ATP2B4,rank,TRUE
STAT4,GO,TRUE
KLRD1,rank,TRUE
CST7,rank,TRUE
NIBAN1,rank,TRUE
CCL5,rank,TRUE
VAV3,GO,TRUE
VAV3,rank,TRUE
NFAT5,rank,FALSE
HCST,GO,TRUE
HCST,rank,TRUE
CHP1,rank,FALSE
SH2D1B,rank,TRUE
RAET1E,GO,FALSE
CSF2,rank,TRUE
RAET1L,rank,FALSE
PTK2B,GO,TRUE
FCER1G,rank,FALSE
FCGR3B,rank,FALSE
PIK3R5,rank,FALSE
FYN,GO,TRUE
SHC2,,
NCR3,rank,TRUE
LAT,GO,TRUE
GRB2,GO,TRUE
GZMB,rank,TRUE
HLA-A,GO,TRUE
HLA-A,rank,TRUE
HLA-B,rank,TRUE
HLA-C,rank,TRUE
HLA-E,GO,TRUE
HLA-G,GO,FALSE
HRAS,rank,FALSE
ICAM1,GO,FALSE
ICAM2,GO,FALSE
IFNA1,,
IFNA2,,
IFNA4,,
IFNA5,,
IFNA6,,
IFNA7,,
IFNA8,,
IFNA10,,
IFNA13,,
IFNA14,,
IFNA16,,
IFNA17,,
IFNA21,,
IFNAR1,,
IFNAR2,GO,FALSE
IFNB1,,
IFNG,rank,TRUE
IFNGR1,GO,TRUE
IFNGR1,rank,TRUE
IFNGR2,rank,TRUE
RAET1G,,
FAS,GO,TRUE
FAS,rank,TRUE
FASLG,rank,TRUE
ITGAL,rank,TRUE
ITGB2,GO,TRUE
ITGB2,rank,TRUE
ARAF,rank,FALSE
KIR2DL1,,
KIR2DL2,,
KIR2DL3,rank,FALSE
KIR2DL4,rank,FALSE
KIR2DS1,,
KIR2DS3,,
KIR2DS4,,
KIR2DS5,,
KIR3DL1,,
KIR3DL2,rank,FALSE
KLRC1,rank,TRUE
KLRC2,rank,TRUE
KLRC3,rank,TRUE
KRAS,rank,TRUE
LCK,rank,TRUE
LCP2,rank,FALSE
SHC4,rank,FALSE
SH2D1A,rank,FALSE
MICA,GO,FALSE
MICB,,
NFATC1,rank,TRUE
NFATC2,rank,TRUE
NFATC3,rank,TRUE
NFATC4,GO,FALSE
NRAS,rank,FALSE
PAK1,GO,TRUE
CD244,rank,FALSE
PIK3CA,rank,FALSE
PIK3CB,rank,FALSE
PIK3CD,rank,FALSE
PIK3CG,GO,TRUE
PIK3R1,rank,FALSE
PIK3R2,,
PLCG1,GO,FALSE
SHC3,rank,FALSE
PLCG2,rank,TRUE
PPP3CA,rank,TRUE
PPP3CB,GO,FALSE
PPP3CC,rank,FALSE
PPP3R1,rank,FALSE
PPP3R2,,
PRF1,rank,TRUE
PRKCA,GO,TRUE
PRKCB,GO,TRUE
PRKCG,,
MAPK1,GO,TRUE
MAPK3,rank,FALSE
MAP2K1,rank,TRUE
MAP2K2,GO,TRUE
KIR2DL5A,,
PTPN6,GO,FALSE
PTPN11,GO,FALSE
RAC1,GO,FALSE
RAC2,GO,TRUE
RAC3,GO,FALSE
RAF1,,
BID,GO,FALSE
CHP2,,
SH3BP2,GO,FALSE
SHC1,,
SOS1,rank,TRUE
SOS2,rank,TRUE
BRAF,rank,TRUE
SYK,GO,TRUE
TNF,rank,FALSE
TYROBP,GO,TRUE
VAV1,GO,TRUE
VAV2,rank,FALSE
ZAP70,rank,TRUE
ULBP3,GO,FALSE
ULBP2,rank,FALSE
ULBP1,GO,FALSE
CASP3,rank,TRUE
PIK3R3,GO,FALSE
TNFSF10,rank,TRUE
TNFRSF10D,,
TNFRSF10C,GO,FALSE
TNFRSF10B,rank,FALSE
TNFRSF10A,GO,TRUE
CD247,GO,TRUE
CD247,rank,TRUE
NCR2,GO,FALSE
NCR1,rank,FALSE
CD48,rank,TRUE
